urn,name,phase,status,lat,lng,ofsted,ofstedDate,ofstedNewerDate,postcode
100000,The Aldgate School,Primary,Open,51.513969,-0.077516,Outstanding,12/06/2024,,EC3A 5DE
100008,Argyle Primary School,Primary,Open,51.528748,-0.123893,Good,04/10/2022,,WC1H 9EG
100009,West Hampstead Primary School,Primary,Open,51.550680,-0.200159,Good,23/03/2022,,NW6 1QL
100010,Brecknock Primary School,Primary,Open,51.547462,-0.127825,Good,07/03/2023,,NW1 9AL
100011,Brookfield Primary School,Primary,Open,51.563545,-0.144565,Good,20/09/2023,,N19 5DH
100013,Edith Neville Primary School,Primary,Open,51.532767,-0.131125,Outstanding,14/06/2023,,NW1 1HQ
100014,Fleet Primary School,Primary,Open,51.553264,-0.159826,Good,06/10/2022,,NW3 2QT
100015,Hawley Primary School,Primary,Open,51.542646,-0.142819,Good,19/06/2024,,NW1 8RP
100018,Netley Primary School & Centre for Autism,Primary,Open,51.527546,-0.140421,Good,01/05/2024,,NW1 3EX
100019,New End Primary School,Primary,Open,51.557955,-0.176862,Good,28/06/2023,,NW3 1HU
100020,Primrose Hill School,Primary,Open,51.539508,-0.151340,Good,13/12/2023,,NW1 8JL
100021,Rhyl Community Primary School,Primary,Open,51.547715,-0.150574,Outstanding,07/02/2024,,NW5 3HB
100022,Richard Cobden Primary School,Primary,Open,51.535478,-0.136536,Outstanding,16/10/2019,18/12/2024,NW1 0LL
100023,Torriano Primary School,Primary,Open,51.549673,-0.132826,Outstanding,11/07/2024,,NW5 2SJ
100025,Gospel Oak Primary School,Primary,Open,51.555062,-0.151777,Outstanding,20/10/2021,13/01/2026,NW3 2JB
100026,Fitzjohn's Primary School,Primary,Open,51.553398,-0.175847,Good,18/04/2024,,NW3 6NP
100027,Eleanor Palmer Primary School,Primary,Open,51.554636,-0.138999,Outstanding,13/09/2023,,NW5 2JA
100028,"Christ Church Primary School, Hampstead",Primary,Open,51.559556,-0.176293,Outstanding,01/11/2023,,NW3 1JH
100029,Christ Church School,Primary,Open,51.531140,-0.144225,Good,25/03/2022,,NW1 4BD
100030,Emmanuel Church of England Primary School,Primary,Open,51.552351,-0.193630,Good,17/07/2024,,NW6 1TF
100031,Hampstead Parochial Church of England Primary School,Primary,Open,51.556351,-0.179551,Good,07/06/2023,,NW3 6TX
100032,"Holy Trinity CofE Primary School, NW3",Primary,Open,51.546146,-0.177882,Good,19/11/2024,,NW3 5SQ
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,Open,51.544123,-0.145802,Good,05/10/2021,02/12/2025,NW1 8DE
100034,Kentish Town Church of England Primary School,Primary,Open,51.549721,-0.139257,Outstanding,10/07/2024,,NW5 2TU
100035,Rosary Catholic Primary School,Primary,Open,51.552087,-0.166769,Good,29/09/2022,,NW3 2AE
100036,St Alban's Church of England Primary School,Primary,Open,51.520206,-0.111012,Good,17/07/2024,,EC1N 7SD
100040,St George the Martyr Church of England Primary School,Primary,Open,51.522372,-0.116587,Outstanding,18/06/2024,,WC1N 2NX
100041,St Josephs Catholic Primary School,Primary,Open,51.516189,-0.121858,Good,23/04/2025,,WC2B 5NA
100042,St Mary's Kilburn Church of England Primary School,Primary,Open,51.540369,-0.193341,Outstanding,11/07/2023,,NW6 4PG
100043,St Mary and St Pancras Church of England Primary School,Primary,Open,51.532379,-0.134457,,,09/10/2024,NW1 1QP
100045,St Patrick's Catholic Primary School,Primary,Open,51.549275,-0.142910,Good,20/11/2024,,NW5 3AH
100046,St Paul's Church of England Primary School,Primary,Open,51.541667,-0.162875,Good,03/11/2021,03/02/2026,NW3 3DS
100047,St Eugene de Mazenod Roman Catholic Primary School,Primary,Open,51.540968,-0.193735,Outstanding,17/10/2023,,NW6 4LS
100048,Our Lady Roman Catholic Primary School,Primary,Open,51.538865,-0.137465,Outstanding,19/04/2023,,NW1 0DP
100049,Haverstock School,Secondary,Open,51.544834,-0.153215,,,04/12/2024,NW3 2BQ
100050,Parliament Hill School,Secondary,Open,51.558455,-0.149634,Outstanding,22/05/2024,,NW5 1RL
100051,Regent High School,Secondary,Open,51.534252,-0.133515,Good,03/02/2023,,NW1 1RX
100052,Hampstead School,Secondary,Open,51.555874,-0.206964,Good,19/04/2023,,NW2 3RT
100053,Acland Burghley School,Secondary,Open,51.557529,-0.141117,Good,19/10/2023,,NW5 1UJ
100054,The Camden School for Girls,Secondary,Open,51.545988,-0.134679,Good,08/06/2022,,NW5 2DB
100055,Maria Fidelis Catholic School FCJ,Secondary,Open,51.529892,-0.132439,Good,08/12/2021,17/03/2026,NW1 1LY
100056,William Ellis School,Secondary,Open,51.558747,-0.151093,,08/10/2024,,NW5 1RN
100059,La Sainte Union Catholic Secondary School,Secondary,Open,51.559998,-0.149427,Good,03/12/2024,,NW5 1RP
100114,Morden Mount Primary School,Primary,Open,51.470078,-0.014496,Good,18/10/2023,,SE13 7QP
100115,Cherry Orchard Primary School,Primary,Open,51.476311,0.032130,,,13/11/2024,SE7 7DG
100120,Ealdham Primary School,Primary,Open,51.457367,0.035535,Good,20/10/2021,14/04/2026,SE9 6BP
100125,Fossdene Primary School,Primary,Open,51.484412,0.027003,Good,05/07/2022,21/04/2026,SE7 7NQ
100126,Gallions Mount Primary School,Primary,Open,51.484571,0.098739,,,,SE18 1JR
100127,Gordon Primary School,Primary,Open,51.458556,0.054518,Good,01/11/2023,,SE9 1QG
100129,Haimo Primary School,Primary,Open,51.455390,0.041651,Good,19/03/2024,,SE9 6DY
100131,Henwick Primary School,Primary,Open,51.462365,0.042869,Good,17/04/2024,,SE9 6NZ
100134,Invicta Primary School,Primary,Open,51.478975,0.020583,Good,17/04/2024,,SE3 7HE
100137,Meridian Primary School,Primary,Open,51.483796,-0.001543,Good,13/09/2022,,SE10 9NY
100140,Plumcroft Primary School,Primary,Open,51.477972,0.074385,Good,28/06/2023,,SE18 3HW
100141,Sherington Primary School,Primary,Open,51.480091,0.025702,Good,17/10/2023,,SE7 7JP
100142,Thorntree Primary School,Primary,Open,51.486736,0.041855,Good,04/11/2021,03/03/2026,SE7 8AE
100146,Wyborne Primary School,Primary,Open,51.440090,0.069517,Good,01/12/2022,,SE9 2EH
100149,Montbelle Primary School,Primary,Open,51.427805,0.062460,Good,09/03/2023,,SE9 3EY
100152,De Lucy Primary School,Primary,Open,51.495964,0.111292,Good,03/10/2023,,SE2 9PD
100155,Cardwell Primary School,Primary,Open,51.490426,0.052968,,26/11/2024,,SE18 5LP
100158,Heronsgate Primary School,Primary,Open,51.494056,0.082765,Outstanding,07/12/2022,,SE28 0EA
100159,Linton Mead Primary School,Primary,Open,51.507939,0.113027,Good,15/11/2022,,SE28 8DT
100162,Greenslade Primary School,Primary,Open,51.479674,0.086416,Good,24/04/2024,,SE18 2QQ
100163,Mulgrave Primary School,Primary,Open,51.488640,0.060969,Good,11/05/2023,,SE18 5DL
100164,Charlton Manor Primary School,Primary,Open,51.477434,0.036889,Good,01/03/2023,,SE7 7EF
100165,Christ Church Church of England Primary School,Primary,Open,51.488139,0.006382,Good,11/11/2021,21/04/2026,SE10 0DZ
100166,"Christ Church Church of England Primary School, Shooters Hill",Primary,Open,51.469902,0.060844,Good,14/11/2023,,SE18 3RS
100167,Eltham Church of England Primary School,Primary,Open,51.451651,0.056467,Good,02/11/2022,,SE9 1TR
100168,Our Lady of Grace Catholic Primary School,Primary,Open,51.480774,0.027302,Outstanding,22/03/2023,,SE7 7HR
100169,St Joseph's Catholic Primary School,Primary,Open,51.486395,0.005312,Good,18/04/2023,,SE10 9AN
100170,St Margaret's Church of England Primary School,Primary,Open,51.483413,0.076404,Good,11/07/2023,,SE18 7RL
100171,Saint Mary Magdalene Church of England All Through School,All-through,Open,51.491244,0.061202,Good,02/11/2023,,SE18 5PW
100173,St Patrick's Catholic Primary School,Primary,Open,51.487847,0.085478,Good,18/01/2023,,SE18 7QG
100174,St Alfege with St Peter's Church of England Primary School,Primary,Open,51.481684,-0.012206,Good,01/12/2021,06/05/2026,SE10 9RB
100175,St Peter's Catholic Primary School,Primary,Open,51.487110,0.068707,Outstanding,25/06/2024,,SE18 7BN
100176,St Thomas More Catholic Primary School,Primary,Open,51.461754,0.044929,Good,01/12/2023,,SE9 6NS
100177,St Thomas A Becket Roman Catholic Primary School,Primary,Open,51.491733,0.104038,Good,05/05/2023,,SE2 9LY
100179,Notre Dame Catholic Primary School,Primary,Open,51.481114,0.067068,,,,SE18 3SJ
100180,St Margaret Clitherow Catholic Primary School,Primary,Open,51.501138,0.113130,Good,10/11/2022,,SE28 8GB
100181,Bishop John Robinson Church of England Primary School,Primary,Open,51.508391,0.118870,Good,25/04/2024,,SE28 8LW
100182,Eltham Hill School,Secondary,Open,51.450912,0.045798,Good,13/03/2024,,SE9 5EE
100183,Plumstead Manor School,Secondary,Open,51.482929,0.084404,Requires improvement,14/06/2023,,SE18 1QF
100190,Thomas Tallis School,Secondary,Open,51.464721,0.026346,Good,21/02/2024,,SE3 9PX
100193,St Ursula's Convent School,Secondary,Open,51.475784,-0.005795,Requires improvement,30/01/2024,18/11/2025,SE10 8HN
100218,Berger Primary School,Primary,Open,51.546036,-0.044825,,,12/03/2025,E9 6HB
100223,Daubeney Primary School,Primary,Open,51.552720,-0.037975,Good,18/10/2023,,E5 0EG
100225,Gainsborough Primary School,Primary,Open,51.545783,-0.025956,Good,14/06/2023,,E9 5ND
100229,Lauriston School,Primary,Open,51.536627,-0.045733,Good,11/07/2023,,E9 7JS
100230,London Fields Primary School,Primary,Open,51.537305,-0.060037,,28/01/2025,,E8 3RL
100231,Millfields Community School,Primary,Open,51.555876,-0.050938,Good,08/02/2024,,E5 0SH
100232,Morningside Primary School,Primary,Open,51.546504,-0.050271,Outstanding,20/09/2023,,E9 6LL
100234,Orchard Primary School,Primary,Open,51.540845,-0.049042,Good,17/11/2021,18/11/2025,E9 7BB
100235,Queensbridge Primary School,Primary,Open,51.539287,-0.071734,Outstanding,13/12/2023,,E8 4ET
100239,Princess May Primary School,Primary,Open,51.552773,-0.077583,Good,25/04/2023,,N16 8DF
100240,Sebright School,Primary,Open,51.533958,-0.065932,,,09/07/2025,E2 8QH
100241,Shacklewell Primary School,Primary,Open,51.553233,-0.072745,,,02/04/2025,E8 2EA
